train_dataset = ,[],test_datset = ,
celltype = ,Cell_subtype_dblabel_lev3,method = ,author
remove_nonshared = ,False,merge = ,,use_raw = ,False,genes_to_use = ,
accuracy=,0.48,f1=,0.45
clustering report
ari=,0.81,ami=,0.8
silhouette_celltype=,0.02,silhouette_pred=,0.2
pair confusion matrix
,0,1
0,3242835388,74966648
1,76849518,371563976
classification report
,precision,recall,f1-score,support
B cell,0.0,0.0,0.0,3592.0
CD1c-positive myeloid dendritic cell,0.0,0.0,0.0,0.0
CD4-positive helper T cell,0.0,0.0,0.0,615.0
"CD4-positive, alpha-beta T cell",0.0,0.0,0.0,7033.0
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,6230.0
"CD8-positive, alpha-beta cytotoxic T cell",0.0,0.0,0.0,0.0
HEV endothelial cell,0.0,0.0,0.0,0.0
IgA plasma cell,0.84,0.94,0.89,3288.0
IgG plasma cell,0.85,0.63,0.72,1731.0
MARCO-positive macrophage,0.0,0.0,0.0,0.0
T-helper 17 cell,0.0,0.0,0.0,1967.0
animal cell,0.0,0.0,0.0,2018.0
blood vessel endothelial cell,0.0,0.0,0.0,0.0
"central memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,0.0
classical monocyte,0.66,0.89,0.76,2006.0
colorectal cancer cell,0.97,1.0,0.98,17050.0
cytotoxic CD56-dim natural killer cell,0.0,0.0,0.0,0.0
"effector memory CD8-positive, alpha-beta T cell",0.0,0.0,0.0,0.0
endothelial cell,0.0,0.0,0.0,44.0
endothelial cell of lymphatic vessel,0.0,0.0,0.0,108.0
endothelial stalk cell,0.0,0.0,0.0,433.0
endothelial tip cell,0.0,0.0,0.0,913.0
enterocyte,0.99,0.98,0.98,268.0
"exhausted-like CD8-positive, alpha-beta T cell",0.0,0.0,0.0,0.0
fibroblast,0.68,1.0,0.81,2291.0
gamma delta T cell,0.0,0.0,0.0,982.0
glial cell,0.99,0.99,0.99,293.0
goblet cell,0.0,0.0,0.0,123.0
macrophage,0.0,0.0,0.0,3233.0
mast cell,0.95,1.0,0.97,149.0
memory B cell,0.0,0.0,0.0,0.0
myeloid dendritic cell,0.0,0.0,0.0,481.0
myofibroblast cell,0.0,0.0,0.0,1143.0
naive B cell,0.0,0.0,0.0,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.0,0.0,0.0,0.0
natural killer cell,0.0,0.0,0.0,1089.0
pericyte cell,0.61,0.98,0.76,438.0
plasmacytoid dendritic cell,0.0,0.0,0.0,0.0
"proliferating CD8-positive, alpha-beta T cell",0.0,0.0,0.0,0.0
proliferating myeloid leukocyte,0.0,0.0,0.0,171.0
regulatory T cell,0.71,0.97,0.82,3065.0
smooth muscle cell,0.0,0.0,0.0,210.0
transit amplifying cell,0.0,0.0,0.0,406.0
accuracy,0.48,0.48,0.48,0.48
macro avg,0.19,0.22,0.2,61370.0
weighted avg,0.44,0.48,0.45,61370.0
